Test,Correct%,Spurious%,Eliminated%
ASTResolving,88.88888888888889,1005.5555555555555,11.11111111111111
ArrayReference,100.0,1744.4444444444443,0.0
BuildPathsPropertyPage,100.0,1350.0,0.0
CPListLabelProvider,100.0,2257.1428571428573,0.0
CompilationUnitDocumentProvider,100.0,2107.1428571428573,0.0
DeltaProcessor,100.0,23125.0,0.0
DialogCustomize,100.0,8225.0,0.0
DirectoryDialog,100.0,6966.666666666667,0.0
DoubleCache,16.666666666666664,1058.3333333333335,83.33333333333334
FontData,71.42857142857143,2000.0,28.57142857142857
GC,90.9090909090909,18536.363636363636,9.090909090909092
GC2,100.0,17360.0,0.0
JavaCodeScanner,100.0,583.3333333333333,0.0
JavaModelManager,83.33333333333334,21316.666666666664,16.666666666666664
JavaPerspectiveFactory,100.0,437.5,0.0
PluginSearchScope,0.0,2000.0,100.0
RefreshLocal,66.66666666666666,1100.0,33.33333333333333
ResourceCompareInput,92.3076923076923,846.1538461538462,7.6923076923076925
ResourceInfo,100.0,4916.666666666666,0.0
SaveManager,0.0,31800.0,100.0
TabFolder,50.0,7025.0,50.0
Test01,100.0,0.0,0.0
Test02,84.21052631578947,10.526315789473683,15.789473684210526
Test05,89.47368421052632,31.57894736842105,10.526315789473683
Test06,95.45454545454545,22.727272727272727,4.545454545454546
Test07,85.71428571428571,14.285714285714285,14.285714285714285
Test08,83.33333333333334,16.666666666666664,16.666666666666664
Test09,78.26086956521739,21.73913043478261,21.73913043478261
Test10,75.0,43.75,25.0
Test11,78.94736842105263,205.26315789473685,21.052631578947366
Test12,88.88888888888889,227.77777777777777,11.11111111111111
Test13,85.0,165.0,15.0
Test14,70.83333333333334,158.33333333333331,29.166666666666668
Test15,100.0,122.72727272727273,0.0
Test16,100.0,257.14285714285717,0.0
Test17,94.44444444444444,244.44444444444446,5.555555555555555
Test18,88.46153846153845,184.6153846153846,11.538461538461538
Test19,82.6086956521739,54.347826086956516,17.391304347826086
Test20,92.0,168.0,8.0
Test21,90.32258064516128,112.90322580645163,9.67741935483871
Test22,69.56521739130434,182.6086956521739,30.434782608695656
Test23,84.0,140.0,16.0
Test24,87.5,181.25,12.5
Test25,82.6086956521739,165.2173913043478,17.391304347826086
asdf,100.0,75.0,0.0
